NO,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,TARGET
1,-72,-71,-74,-72,-89,-74,31
2,-72,-77,-74,-71,-86,-78,31
3,-72,-79,-73,-72,-88,-75,31
4,-72,-78,-72,-72,-89,-73,31
5,-74,-80,-72,-72,-87,-75,31
6,-73,-80,-71,-72,-86,-75,31
7,-73,-82,-72,-72,-87,-73,31
8,-73,-84,-72,-71,-88,-73,31
9,-73,-72,-72,-72,-81,-73,31
10,-72,-72,-72,-68,-87,-81,31
11,-72,-79,-72,-71,-87,-73,31
12,-72,-80,-73,-72,-88,-73,31
13,-72,-80,-73,-71,-88,-75,31
14,-73,-80,-72,-73,-86,-72,31
15,-72,-79,-73,-71,-86,-72,31
16,-72,-80,-91,-71,-79,-74,31
17,-72,-80,-72,-71,-89,-74,31
18,-72,-80,-71,-70,-87,-73,31
19,-72,-79,-71,-71,-88,-73,31
20,-72,-80,-72,-70,-87,-73,31
21,-72,-80,-72,-71,-86,-73,31
22,-71,-79,-73,-71,-86,-73,31
23,-72,-78,-73,-71,-87,-73,31
24,-71,-80,-72,-71,-86,-73,31
25,-72,-79,-72,-71,-86,-72,31
26,-72,-78,-71,-71,-86,-72,31
27,-72,-71,-83,-67,-79,-79,31
28,-71,-79,-72,-71,-87,-72,31
29,-72,-78,-73,-71,-92,-74,31
30,-72,-78,-72,-72,-87,-72,31
31,-72,-78,-72,-73,-88,-72,31
32,-72,-78,-82,-71,-86,-79,31
33,-72,-78,-72,-72,-87,-73,31
34,-72,-79,-71,-71,-87,-73,31
35,-72,-78,-72,-72,-86,-73,31
36,-71,-78,-73,-71,-86,-74,31
37,-72,-79,-71,-71,-86,-73,31
38,-72,-79,-73,-71,-86,-73,31
39,-72,-77,-71,-67,-87,-71,31
40,-71,-79,-72,-71,-87,-72,31
41,-71,-79,-72,-71,-86,-73,31
42,-72,-78,-72,-72,-87,-72,31
43,-73,-78,-72,-70,-86,-73,31
44,-72,-80,-72,-71,-87,-73,31
45,-72,-78,-72,-71,-88,-74,31
46,-72,-78,-73,-70,-86,-73,31
47,-71,-73,-89,-67,-80,-74,31
48,-72,-79,-72,-70,-87,-73,31
49,-73,-78,-71,-71,-87,-73,31
50,-73,-78,-72,-70,-87,-73,31
51,-72,-78,-72,-71,-87,-74,31
52,-71,-79,-74,-66,-79,-73,31
53,-72,-79,-72,-70,-85,-74,31
54,-72,-79,-74,-69,-86,-73,31
55,-72,-71,-72,-71,-87,-74,31
56,-73,-79,-73,-71,-87,-74,31
57,-73,-78,-71,-71,-80,-73,31
58,-75,-78,-72,-71,-86,-73,31
59,-72,-81,-72,-71,-86,-74,31
60,-73,-81,-72,-70,-86,-75,31
61,-73,-79,-72,-71,-86,-73,31
62,-73,-80,-72,-70,-86,-74,31
63,-74,-79,-73,-71,-81,-74,31
64,-75,-79,-72,-72,-86,-72,31
65,-73,-80,-72,-71,-88,-73,31
66,-73,-80,-71,-70,-87,-73,31
67,-73,-78,-73,-70,-87,-73,31
68,-73,-79,-73,-71,-87,-74,31
69,-72,-73,-73,-67,-79,-80,31
70,-73,-79,-71,-71,-88,-72,31
71,-73,-78,-71,-71,-81,-73,31
72,-72,-78,-73,-71,-86,-72,31
73,-72,-72,-88,-71,-80,-76,31
74,-72,-79,-73,-71,-87,-73,31
75,-72,-78,-73,-70,-80,-75,31
76,-73,-78,-71,-71,-86,-73,31
77,-73,-78,-73,-71,-86,-73,31
78,-73,-78,-72,-72,-80,-73,31
79,-73,-77,-72,-71,-86,-74,31
80,-72,-77,-72,-71,-86,-73,31
81,-72,-77,-73,-71,-87,-73,31
82,-72,-76,-72,-68,-87,-72,31
83,-72,-77,-73,-70,-87,-73,31
84,-71,-78,-73,-70,-87,-74,31
85,-72,-78,-72,-70,-87,-73,31
86,-72,-78,-74,-71,-87,-72,31
87,-72,-77,-69,-71,-86,-73,31
88,-71,-78,-72,-70,-87,-75,31
89,-71,-78,-73,-70,-86,-75,31
90,-72,-78,-71,-72,-87,-74,31
91,-72,-79,-72,-71,-85,-71,31
92,-72,-78,-73,-71,-86,-74,31
93,-71,-78,-73,-71,-85,-74,31
94,-73,-79,-72,-70,-86,-75,31
95,-72,-79,-73,-71,-84,-75,31
96,-72,-79,-75,-71,-84,-75,31
97,-72,-79,-75,-70,-86,-76,31
98,-72,-79,-75,-68,-79,-74,31
99,-71,-78,-76,-70,-86,-75,31
100,-71,-78,-73,-71,-87,-73,31
101,-71,-77,-76,-70,-86,-74,31
102,-71,-78,-74,-71,-86,-74,31
103,-71,-78,-75,-69,-90,-75,31
104,-72,-78,-74,-71,-84,-74,31
105,-71,-79,-77,-70,-85,-75,31
106,-71,-80,-76,-70,-78,-75,31
107,-71,-79,-76,-71,-86,-74,31
108,-72,-78,-76,-68,-88,-73,31
109,-72,-79,-76,-73,-86,-72,31
110,-70,-78,-75,-71,-86,-75,31
111,-71,-79,-74,-70,-85,-73,31
112,-72,-78,-75,-71,-85,-74,31
113,-72,-80,-75,-71,-86,-73,31
114,-71,-79,-77,-71,-85,-72,31
115,-71,-79,-77,-70,-85,-74,31
